,cif_id,avg_connect_v
1042,259898,4.1142311096191415
1044,260259,4.714757919311523
1046,260280,4.994713306427002
1048,260590,3.0222558975219727
1049,260591,4.816119194030762
1050,260681,3.926458597183228
1051,260682,3.960117101669312
1053,261235,2.9294018745422363
1054,261236,4.267558574676514
1055,261237,3.0039310455322266
1056,261238,4.232169628143311
1057,261239,4.043215274810791
1058,261256,4.485974311828613
1059,261302,2.472295999526977
1062,261526,3.6900792121887207
1063,261746,4.057443141937257
1064,261825,4.686041831970215
1067,262200,4.919102191925049
1071,262642,4.913731575012207
1072,262643,4.974695682525635
1078,26297,2.0444576740264893
1079,26298,4.539999961853027
1084,263760,4.925571918487549
1085,263761,2.5716931819915767
1086,263762,2.247020483016968
1087,263763,2.1777479648590092
1088,263764,2.169272899627685
1089,263765,2.1715459823608403
1090,263766,2.229586362838745
1093,26411,3.0057623386383057
1094,264137,3.538336515426636
1098,264211,3.379122257232666
1101,2644,2.871891736984253
1102,264457,3.9080595970153813
1104,264462,3.6429712772369385
1105,264463,3.632415771484375
1106,26451,3.273368120193481
1108,264522,2.3746967315673833
1109,264695,4.8139686584472665
1111,26472,3.3381836414337163
1114,26513,2.8536956310272217
1115,26540,2.8643908500671387
1119,26737,2.7149999141693115
1120,26738,2.7300000190734863
1121,26817,4.477118015289307
1123,26878,2.9518735408782963
1124,26879,3.0484189987182617
1125,26880,2.774003267288208
1126,26892,2.5144717693328857
1127,26909,3.627174854278565
1129,27007,3.860150814056397
1130,27008,3.886482954025269
1131,27016,3.644008874893189
1132,27128,3.546374082565308
1137,27524,4.552575588226318
1141,27896,3.7943544387817374
1142,27902,3.619639873504639
1143,27904,3.95108962059021
1145,279592,2.8287382125854488
1146,27981,3.6366500854492183
1147,27982,3.889087200164795
1148,27983,4.2511258125305185
1152,280205,4.727331161499023
1154,280226,4.315935134887694
1166,281011,4.6120333671569815
1167,28106,4.688188552856445
1168,281119,4.5409836769104
1171,281277,2.8605332374572754
1172,28131,3.1705493927001958
1174,281330,4.851364612579347
1180,28192,3.1891999244689937
1182,28307,3.227601766586304
1183,28323,2.927422046661377
1185,28682,3.580235958099365
1186,28683,2.523400068283081
1187,28697,3.945655822753906
1191,290831,3.699582815170288
1192,290832,3.847567081451416
1193,290979,3.075730323791504
1196,291154,3.2257230281829834
1200,291512,3.703567504882813
1202,291596,4.440700054168701
1203,291962,4.408103466033936
1205,29314,2.8991377353668213
1206,2935,1.8629000186920168
1211,300010,4.313380718231201
1212,30223,4.046888828277588
1214,30249,3.091436624526977
1215,30253,3.703955173492432
1216,30276,3.3736002445220947
1223,30786,3.0259292125701904
1226,30964,4.596150875091553
1227,30982,4.62315559387207
1228,30983,4.6308250427246085
1229,31050,2.9525847434997563
1230,31110,3.7048532962799072
1231,31148,2.9243109226226807
1234,31316,3.1330351829528813
1237,31941,3.117186546325684
1238,32028,4.816382884979248
1239,32029,4.955428123474121
1240,32594,1.8494999408721924
1242,32713,2.8983783721923833
1246,33506,3.5052068233489986
1247,33633,3.2438361644744877
1248,33634,3.2300636768341064
1251,33809,3.0649843215942383
1252,33810,3.2305486202239986
1253,33864,3.1770000457763667
1254,33896,2.6110665798187256
1255,33897,2.655233860015869
1256,33898,2.6846787929534908
1257,33899,2.681214570999145
1258,33954,2.793869972229004
1260,34095,4.89204740524292
1261,34106,3.0646800994873047
1264,34221,3.1521449089050293
1265,34256,2.6555142402648926
1266,34280,2.861888647079468
1267,34336,2.9523732662200928
1270,34362,3.397799015045166
1273,34582,2.8987853527069087
1274,34670,4.322265625
1276,34675,3.2665035724639893
1278,34779,2.86299729347229
1279,34780,2.860666990280152
1280,34781,2.857856035232544
1281,35018,4.0922627449035645
1282,35156,4.047942638397217
1283,35168,2.0113329887390137
1284,35169,1.8602960109710691
1285,35182,3.122155904769897
1286,35235,4.420663356781006
1287,35236,3.1646523475646973
1288,35250,2.7936527729034424
1292,35290,4.917079448699951
1295,35405,2.7807765007019043
1296,35429,4.271074295043944
1297,35472,2.587599992752075
1298,35473,2.5850000381469727
1299,35474,2.5964999198913574
1300,35475,2.609499931335449
1301,35476,2.618000030517578
1305,36124,3.130311727523804
1307,36449,3.4979207515716557
1311,36482,4.110030651092528
1313,36532,3.092275857925415
1317,37060,3.080714702606201
1318,37071,3.586628198623657
1320,37163,3.0896456241607666
1322,380104,3.589179277420044
1326,380388,3.2098405361175537
1327,380389,3.431023597717285
1328,380390,3.4284780025482178
1331,38167,3.749599933624268
1334,38324,3.1866860389709477
1335,38350,2.9221985340118413
1337,38411,3.013999938964844
1339,391200,4.696879863739014
1340,391245,2.845703601837158
1347,39563,3.7290554046630864
1348,39574,3.966318368911743
1349,39596,2.866749048233032
1350,39597,3.1370224952697754
1359,39814,3.223475456237793
1361,400104,4.510632038116455
1363,400460,4.458000183105469
1372,402341,3.5166132450103764
1373,402398,3.65786337852478
1374,402399,4.61294412612915
1375,40245,2.8302481174468994
1376,40247,3.4726750850677486
1377,40265,4.599446296691895
1380,40358,2.562999963760376
1381,40359,2.567300081253052
1382,40360,2.575500011444092
1383,40361,2.5857999324798584
1384,40362,2.6133999824523926
1385,40363,2.57699990272522
1386,40364,2.569799900054932
1387,40365,2.569799900054932
1389,40456,3.932927846908569
