,cif_id,survive_h1
153,165483,0.1111111111111111
154,165484,0.1111111111111111
155,165485,0.1111111111111111
156,165486,0.1111111111111111
157,165487,0.1111111111111111
158,165488,0.1111111111111111
159,165489,0.1111111111111111
160,165490,0.1111111111111111
161,165491,0.1111111111111111
162,165492,0.1111111111111111
163,165493,0.1111111111111111
165,165579,0.25
167,16626,0.125
168,166547,0.08333333333333333
171,16713,0.125
172,167141,0.375
174,167572,0.25
175,167573,0.25
176,167574,0.25
182,167585,0.25
186,16798,0.20833333333333331
188,16800,0.20833333333333331
193,168143,0.16666666666666666
194,168144,0.16666666666666666
195,168145,0.16666666666666666
196,16926,0.425
197,16935,0.4375
198,169799,0.125
199,169864,0.125
203,171366,0.0625
205,171497,0.3541666666666667
207,172043,0.3125
208,172044,0.25
237,174202,0.23214285714285715
238,174612,0.07738095238095237
239,174613,0.07738095238095237
240,174614,0.07738095238095237
241,174615,0.07738095238095237
242,174616,0.07738095238095237
243,174617,0.07738095238095237
245,180012,0.25
246,18004,0.20833333333333331
248,180289,0.3333333333333333
249,180318,0.16666666666666666
252,180507,0.4375
253,180730,0.3333333333333333
254,18096,0.4375
255,181261,0.375
256,18152,0.25
259,182026,0.15625
260,182027,0.15625
261,182028,0.15625
262,182034,0.23214285714285715
263,182035,0.25
264,182036,0.07738095238095237
265,182959,0.125
266,182961,0.125
268,182963,0.125
271,183607,0.10833333333333334
272,183684,0.23214285714285715
273,183685,0.23214285714285715
275,184230,0.10833333333333334
276,184283,0.25
277,184284,0.25
278,184285,0.25
279,184286,0.25
280,184287,0.25
281,184288,0.25
282,184289,0.25
283,184290,0.25
284,184291,0.25
285,184292,0.25
286,185539,0.10833333333333334
287,185540,0.10833333333333334
293,186848,0.0625
294,186849,0.0625
295,186850,0.125
300,188493,0.125
301,188886,0.21875
302,188887,0.21875
303,190006,0.43333333333333335
304,19023,0.25
305,19024,0.25
306,190773,0.52734375
309,191311,0.5925925925925926
310,191528,0.23214285714285715
311,191542,0.10833333333333334
312,191891,0.0925925925925926
313,192544,0.0625
314,193032,0.16666666666666666
315,193033,0.16666666666666666
316,193034,0.16666666666666666
317,193035,0.16666666666666666
318,193036,0.16666666666666666
319,193037,0.16666666666666666
320,193038,0.16666666666666666
321,193039,0.16666666666666666
322,193040,0.16666666666666666
323,193041,0.16666666666666666
324,193441,0.5925925925925926
325,193755,0.35
326,193768,0.125
330,193947,0.28125
331,195182,0.10833333333333334
333,196425,0.10833333333333334
338,196807,0.25
344,20031,0.25
346,200369,0.25
347,200534,0.25
350,200980,0.275
351,200981,0.275
356,20208,0.08333333333333333
357,202115,0.3333333333333333
358,202116,0.4583333333333333
359,202326,0.125
360,202538,0.2619047619047619
361,202539,0.2619047619047619
362,202631,0.04166666666666666
363,202632,0.21428571428571427
368,202897,0.08333333333333333
376,20434,0.16666666666666666
377,21032,0.0625
378,21053,0.0625
382,230105,0.5925925925925926
383,23017,0.125
386,2319,0.125
391,23634,0.4
392,236888,0.3333333333333333
393,236889,0.3333333333333333
395,23723,0.125
397,23747,0.16666666666666666
398,23748,0.2916666666666667
400,237729,0.375
406,238600,0.1388888888888889
407,238601,0.19444444444444445
408,238602,0.05555555555555555
409,238603,0.4107142857142857
410,238685,0.10833333333333334
411,238686,0.18055555555555555
412,238687,0.23214285714285715
